id,P2,P3,P4,P5,P6,P7,P8,P9,P10,F1,F2,F3,F4,F5,F6,F7,S1,A1,A2,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,TOTAL
131,Urban,Male,21,English,Postgraduate,"> 60,000",Alone,Postgraduate,Postgraduate,active,passive,no record,"Putting money in a savings/deposits account, Investing in stocks and shares",10% - 50%,invest in assets,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",lose money,100 plus 3pct,"15,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,10.0
132,Urban,Male,21,Bengali,12th pass,"20,000 - 40,000",With other adult relatives,Graduate,12th pass,passive,passive,notes,"Putting money in a savings/deposits account, Giving money to family to save on your behalf",< 5%,keep in bank account,,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,Jewellery,> 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,not sure,less than today,10.0
133,Urban,Female,22,English,Graduate,"> 60,000",With friends. colleagues or students,Graduate,Postgraduate,active,passive,spreadsheet or same,Putting money in a savings/deposits account,no income,keep in bank account,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,11.0
134,Urban,Female,21,Bengali,12th pass,"< 20,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,"Saving cash at home, Putting money in a savings/deposits account",5% - 10%,unable to save,,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Art works, Child support",2 lakh,100 plus 3pct,not sure,save it,expensive model,keep it,Multiple businesses/investment,No interest,less than 110,same as today,6.0
135,Urban,Male,21,English,Graduate,"> 60,000",With other adult relatives,Graduate,Graduate,passive,active,spreadsheet or same,Saving cash at home,5% - 10%,keep in bank account,dont know,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"30,000",save it,expensive model,buy beverage,Multiple businesses/investment,No interest,exactly 110,more than today,7.0
136,Urban,Other,18,English,Ph.D.,"> 60,000",With children under the age of 18,Ph.D.,Ph.D.,active,active,no record,"Buying bonds or time deposits, Investing in crypto-assets,NFTs, Investing in stocks and shares",> 50%,invest in assets,>= 6 months,"Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the first set.,"Jewellery, Car, Loan, Child support",lose money,100 plus 3pct,"30,000",spend it,expensive model,buy beverage,Multiple businesses/investment,No interest,more than 110,more than today,8.0
137,Urban,Male,21,English,12th pass,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,active,active,notes,Putting money in a savings/deposits account,5% - 10%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today,10.0
138,Urban,Male,18,Bengali,12th pass,"< 20,000",With other adult relatives,12th pass,Graduate,passive,passive,no record,Putting money in a savings/deposits account,no income,keep in bank account,,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,"Jewellery, House",2 lakh,100 plus 3pct,"30,000",spend it,expensive model,keep it,Multiple businesses/investment,Not sure,not sure,not sure,5.0
139,Urban,Female,19,Bengali,12th pass,"< 20,000",With other adult relatives,12th pass,Graduate,passive,passive,no record,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf",no income,keep in bank account,dont know,Bought goods and services online,Credit card,You buy the second set.,"Jewellery, Car, House, Art works",> 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,11.0
140,Rural,Male,22,Bengali,12th pass,"< 20,000",With friends. colleagues or students,Graduate,Graduate,active,passive,no record,"Putting money in a savings/deposits account, Investing in stocks and shares",no income,invest in assets,>= 3 months bu < 6 month,Check the balance and transactions of my bank account online,Debit card,You buy the first set.,"Jewellery, House, Art works",lose money,100 plus 3pct,"30,000",save it,expensive model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today,9.0
141,Urban,Male,23,English,Postgraduate,"> 60,000",With other adult relatives,Postgraduate,Postgraduate,passive,active,spreadsheet or same,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",> 50%,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",> 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,12.0
142,Urban,Male,21,English,Graduate,"> 60,000",Alone,Graduate,Postgraduate,active,active,spreadsheet or same,"Putting money in a savings/deposits account, Investing in stocks and shares",10% - 50%,keep in bank account,>= 3 months bu < 6 month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, House",not sure,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,12.0
143,Urban,Female,19,Bengali,12th pass,"40,000 - 60,000",With friends. colleagues or students,Postgraduate,Graduate,passive,passive,no record,Putting money in a savings/deposits account,5% - 10%,unable to save,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Child support",> 2 lakh,not sure,"30,000",save it,expensive model,buy beverage,Not sure,No interest,exactly 110,not sure,3.0
144,Urban,Male,22,Bengali,Graduate,"40,000 - 60,000",With other adult relatives,Graduate,Graduate,passive,passive,spreadsheet or same,"Saving cash at home, Putting money in a savings/deposits account, Investing in crypto-assets,NFTs",no income,unable to save,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the first set.,"Jewellery, House",lose money,100 plus 3pct,"30,000",save it,expensive model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today,9.0
145,Urban,Male,21,Bengali,12th pass,"< 20,000",With other adult relatives,10th pass or less,10th pass or less,passive,active,spreadsheet or same,Putting money in a savings/deposits account,5% - 10%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"15,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,more than today,8.0
146,Rural,Female,19,English,12th pass,"40,000 - 60,000",With partner/spouse,Graduate,Postgraduate,active,passive,no record,Putting money in a savings/deposits account,no income,keep in bank account,,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the first set.,"Jewellery, Car, House",> 2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,9.0
147,Rural,Male,20,Bengali,12th pass,"< 20,000",With other adult relatives,12th pass,Graduate,passive,passive,no record,Putting money in a savings/deposits account,no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",> 2 lakh,100 plus 3pct,"25,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today,8.0
148,Urban,Male,21,Bengali,Graduate,"< 20,000",With friends. colleagues or students,Graduate,12th pass,passive,passive,no record,Buying bonds or time deposits,no income,keep in bank account,< 1 week,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,"Jewellery, Car, House, Loan, Art works, Child support",not sure,not sure,not sure,save it,expensive model,keep it,Not sure,Not sure,exactly 110,not sure,3.0
149,Urban,Male,21,English,12th pass,"40,000 - 60,000",With partner/spouse,Postgraduate,Graduate,passive,active,notes,Saving cash at home,no income,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, House, Art works",> 2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,10.0
150,Urban,Female,19,English,12th pass,"20,000 - 40,000",Alone,12th pass,12th pass,active,passive,notes,"Saving cash at home, Putting money in a savings/deposits account",> 50%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the first set.,"Jewellery, Car, House",lose money,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,exactly 110,same as today,9.0
151,Urban,Female,21,English,12th pass,"> 60,000","With children under the age of 18, With other adult relatives",Postgraduate,Postgraduate,passive,passive,no record,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf",5% - 10%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today,10.0
152,Urban,Male,22,Bengali,Graduate,"< 20,000",With partner/spouse,Graduate,10th pass or less,active,passive,no record,Putting money in a savings/deposits account,no income,unable to save,>= 6 months,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,Not sure about any one,> 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today,7.0
153,Rural,Male,18,Bengali,12th pass,"< 20,000",With other adult relatives,Graduate,12th pass,active,active,notes,"Putting money in a savings/deposits account, Investing in crypto-assets,NFTs",5% - 10%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,not sure,save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,more than today,10.0
154,Urban,Male,21,English,Graduate,"20,000 - 40,000",With other adult relatives,12th pass,10th pass or less,active,passive,notes,Putting money in a savings/deposits account,5% - 10%,keep in bank account,>= 3 months bu < 6 month,Check the balance and transactions of my bank account online,Debit card,You buy the first set.,"Jewellery, Car, House, Child support",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today,9.0
155,Urban,Male,20,English,Graduate,"> 60,000",With other adult relatives,Postgraduate,Graduate,passive,active,spreadsheet or same,Putting money in a savings/deposits account,no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,11.0
156,Rural,Female,18,Bengali,12th pass,"< 20,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,Saving cash at home,no income,unable to save,dont know,Bought goods and services online,Debit card,You buy the first set.,"House, Art works, Child support",> 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,not sure,7.0
157,Rural,Male,18,Bengali,12th pass,"< 20,000",With other adult relatives,12th pass,10th pass or less,passive,passive,notes,"Putting money in a savings/deposits account, Giving money to family to save on your behalf",no income,unable to save,,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the second set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,10.0
158,Urban,Male,22,English,Graduate,"> 60,000",With friends. colleagues or students,Postgraduate,Postgraduate,active,passive,no record,"Investing in crypto-assets,NFTs",5% - 10%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",> 2 lakh,100 plus 3pct,"30,000",spend it,expensive model,keep it,Multiple businesses/investment,Not sure,more than 110,same as today,7.0
159,Urban,Male,22,English,12th pass,"< 20,000",With other adult relatives,12th pass,12th pass,passive,active,no record,Putting money in a savings/deposits account,10% - 50%,keep in bank account,< 1 week,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,not sure,9.0
160,Urban,Male,19,English,12th pass,"40,000 - 60,000",With other adult relatives,Postgraduate,Postgraduate,passive,active,notes,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf",10% - 50%,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, House, Child support",lose money,105,not sure,save it,expensive model,keep it,Multiple businesses/investment,No interest,not sure,not sure,7.0
161,Urban,Female,22,"Other local language (Marathi, Gujarati etc)",Graduate,"< 20,000",With friends. colleagues or students,Postgraduate,Graduate,active,passive,no record,Giving money to family to save on your behalf,< 5%,keep in bank account,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",lose money,105,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,not sure,8.0
162,Urban,Male,19,Bengali,12th pass,"> 60,000",Alone,Ph.D.,Graduate,active,passive,notes,Saving cash at home,no income,unable to save,,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House",lose money,100 plus 3pct,"30,000",save it,expensive model,keep it,Not sure,No interest,more than 110,not sure,7.0
163,Urban,Male,21,English,Graduate,"< 20,000",Alone,Graduate,Postgraduate,active,active,notes,"Saving cash at home, Investing in crypto-assets,NFTs, Investing in stocks and shares",5% - 10%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, House",> 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today,11.0
164,Rural,Male,21,Bengali,Graduate,"40,000 - 60,000",With other adult relatives,12th pass,Graduate,passive,active,notes,Giving money to family to save on your behalf,5% - 10%,keep in bank account,,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Loan",lose money,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,more than today,9.0
165,Rural,Male,18,Bengali,12th pass,"< 20,000",Alone,10th pass or less,10th pass or less,active,active,spreadsheet or same,Putting money in a savings/deposits account,no income,keep in bank account,dont know,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,Child support,2 lakh,not sure,not sure,save it,expensive model,keep it,One business/investment,Not sure,exactly 110,not sure,5.0
166,Urban,Female,21,Bengali,Graduate,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,passive,active,notes,Putting money in a savings/deposits account,< 5%,keep in bank account,>= 1 month but < 3 months,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,"Jewellery, Car, House",lose money,100 plus 3pct,"30,000",save it,expensive model,buy beverage,One business/investment,No interest,more than 110,less than today,8.0
167,Urban,Female,21,English,Graduate,"40,000 - 60,000",With other adult relatives,Graduate,Postgraduate,passive,passive,spreadsheet or same,Putting money in a savings/deposits account,> 50%,invest in assets,>= 3 months bu < 6 month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"15,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,9.0
168,Urban,Female,22,English,Graduate,"> 60,000",With other adult relatives,Graduate,Graduate,passive,passive,spreadsheet or same,Putting money in a savings/deposits account,no income,unable to save,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House",2 lakh,not sure,"30,000",save it,expensive model,keep it,One business/investment,Not sure,not sure,not sure,4.0
169,Urban,Female,21,English,12th pass,"> 60,000",With other adult relatives,Graduate,Graduate,active,active,notes,Putting money in a savings/deposits account,no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,Not sure about any one,2 lakh,100 plus 3pct,not sure,spend it,cheaper model,keep it,Not sure,No interest,not sure,not sure,6.0
170,Urban,Male,18,Bengali,12th pass,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,passive,passive,notes,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf",10% - 50%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",> 2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,11.0
171,Urban,Male,20,English,12th pass,"> 60,000",With friends. colleagues or students,Ph.D.,Postgraduate,active,passive,no record,Saving cash at home,< 5%,spend on shopping,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",> 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,9.0
172,Rural,Male,21,Bengali,Graduate,"< 20,000",With other adult relatives,10th pass or less,10th pass or less,active,passive,no record,Saving cash at home,no income,unable to save,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,Not sure about any one,2 lakh,100 plus 3pct,not sure,spend it,cheaper model,keep it,Not sure,No interest,exactly 110,not sure,3.0
173,Urban,Male,22,English,Graduate,"< 20,000",With other adult relatives,Graduate,Graduate,active,active,spreadsheet or same,"Saving cash at home, Putting money in a savings/deposits account, Buying bonds or time deposits, Investing in stocks and shares",no income,invest in assets,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, House, Art works",2 lakh,100 plus 3pct,not sure,save it,cheaper model,keep it,Multiple businesses/investment,No interest,not sure,less than today,10.0
174,Urban,Male,20,Bengali,12th pass,"> 60,000",With friends. colleagues or students,Postgraduate,12th pass,passive,passive,no record,Saving cash at home,no income,unable to save,,Bought goods and services online,Credit card,You buy the first set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,more than today,6.0
175,Urban,Female,20,English,12th pass,"< 20,000",With other adult relatives,Graduate,12th pass,active,passive,no record,Putting money in a savings/deposits account,10% - 50%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,exactly 110,same as today,7.0
176,Urban,Male,21,English,Graduate,"40,000 - 60,000",With other adult relatives,Ph.D.,Graduate,passive,passive,no record,"Saving cash at home, Putting money in a savings/deposits account",10% - 50%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Car, House",> 2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today,8.0
177,Urban,Male,21,Bengali,Graduate,"20,000 - 40,000",With other adult relatives,Postgraduate,Graduate,passive,passive,no record,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf",10% - 50%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House",> 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,more than today,9.0
178,Urban,Male,20,English,Graduate,"40,000 - 60,000",With other adult relatives,Graduate,Graduate,active,passive,no record,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",< 5%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Car, House",> 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today,9.0
179,Urban,Female,20,English,12th pass,"> 60,000",With partner/spouse,Postgraduate,Postgraduate,passive,passive,no record,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",no income,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,not sure,save it,expensive model,keep it,Multiple businesses/investment,No interest,not sure,not sure,7.0
180,Urban,Male,21,English,Graduate,"40,000 - 60,000","With friends. colleagues or students, With other unrelated adults",Ph.D.,Postgraduate,passive,active,notes,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf",> 50%,invest in assets,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,Not sure about any one,lose money,100 plus 3pct,"15,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,more than today,9.0
181,Urban,Male,21,English,Graduate,"> 60,000",Alone,Graduate,Graduate,active,active,notes,"Saving cash at home, Putting money in a savings/deposits account",10% - 50%,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",lose money,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,more than today,11.0
182,Urban,Female,19,English,12th pass,"> 60,000",With other adult relatives,Graduate,Graduate,passive,passive,notes,Putting money in a savings/deposits account,no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the first set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,not sure,not sure,8.0
183,Urban,Male,21,English,12th pass,"> 60,000",With other adult relatives,Graduate,Postgraduate,passive,passive,no record,Giving money to family to save on your behalf,10% - 50%,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House",lose money,not sure,"30,000",spend it,expensive model,keep it,Multiple businesses/investment,No interest,not sure,less than today,6.0
184,Urban,Male,31,Bengali,Postgraduate,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,active,active,no record,Putting money in a savings/deposits account,< 5%,unable to save,dont know,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,Not sure about any one,not sure,100 plus 3pct,not sure,save it,expensive model,keep it,Not sure,Not sure,not sure,not sure,4.0
185,Urban,Male,21,Bengali,Graduate,"< 20,000",Alone,Graduate,10th pass or less,active,active,spreadsheet or same,"Putting money in a savings/deposits account, Buying bonds or time deposits, Investing in stocks and shares",no income,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, House, Art works",lose money,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,12.0
186,Urban,Male,21,Bengali,12th pass,"< 20,000",With other adult relatives,12th pass,Graduate,active,active,notes,Saving cash at home,< 5%,keep in bank account,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,not sure,11.0
187,Urban,Female,20,English,Postgraduate,"40,000 - 60,000",With children under the age of 18,Graduate,Graduate,active,passive,spreadsheet or same,"Giving money to family to save on your behalf, Investing in crypto-assets,NFTs",10% - 50%,spend on shopping,< 1 week,Bought goods and services online,Credit card,You buy the first set.,"Jewellery, Art works, Not sure about any one",2 lakh,105,"25,000",spend it,cheaper model,keep it,One business/investment,Not sure,exactly 110,more than today,3.0
188,Urban,Female,22,Bengali,Graduate,"40,000 - 60,000",With partner/spouse,12th pass,Graduate,active,passive,no record,"Giving money to family to save on your behalf, Buying bonds or time deposits",10% - 50%,invest in assets,>= 6 months,Bought goods and services online,Credit card,You buy the first set.,"Jewellery, Child support",> 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,Not sure,exactly 110,less than today,8.0
189,Urban,Female,22,Hindi,Graduate,"40,000 - 60,000","With children under the age of 18, With other adult relatives",10th pass or less,Postgraduate,active,passive,spreadsheet or same,"Giving money to family to save on your behalf, Investing in crypto-assets,NFTs",10% - 50%,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Loan, Art works",2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,buy beverage,Multiple businesses/investment,No interest,less than 110,more than today,7.0
190,Urban,Female,22,English,Postgraduate,"40,000 - 60,000","With children under the age of 18, With other unrelated adults",Graduate,12th pass,active,passive,spreadsheet or same,"Putting money in a savings/deposits account, Buying bonds or time deposits, Investing in crypto-assets,NFTs",5% - 10%,unable to save,>= 6 months,"Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the first set.,"Jewellery, Car, House, Art works",lose money,100 plus 3pct,"25,000",save it,expensive model,buy beverage,Multiple businesses/investment,No interest,less than 110,less than today,8.0
191,Urban,Female,22,Bengali,Graduate,"40,000 - 60,000",With children under the age of 18,Graduate,Graduate,active,passive,no record,"Saving cash at home, Buying bonds or time deposits",10% - 50%,invest in assets,>= 6 months,"Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, Car, House, Loan, Child support",2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,same as today,9.0
192,Urban,Female,22,Bengali,Graduate,"40,000 - 60,000",With children under the age of 18,Graduate,Graduate,active,passive,no record,"Saving cash at home, Buying bonds or time deposits",10% - 50%,invest in assets,>= 6 months,"Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, Car, House, Loan, Child support",2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,same as today,9.0
193,Urban,Male,20,English,Graduate,"> 60,000",With other adult relatives,Graduate,Postgraduate,active,passive,notes,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf, Buying bonds or time deposits",10% - 50%,spend on shopping,>= 6 months,Check the balance and transactions of my bank account online,Credit card,You buy the first set.,"Jewellery, Car, House, Art works",> 2 lakh,100 plus 3pct,"30,000",save it,expensive model,buy beverage,Multiple businesses/investment,No interest,less than 110,same as today,8.0
194,Rural,Female,22,English,Graduate,"20,000 - 40,000",With other adult relatives,12th pass,12th pass,passive,active,spreadsheet or same,"Saving cash at home, Putting money in a savings/deposits account, Buying bonds or time deposits",5% - 10%,invest in assets,>= 1 month but < 3 months,Bought goods and services online,Debit card,You buy the first set.,"Jewellery, Car, House, Art works, Child support",lose money,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,less than 110,less than today,10.0
195,Urban,Male,21,English,Graduate,"40,000 - 60,000",With friends. colleagues or students,12th pass,Graduate,active,active,no record,"Putting money in a savings/deposits account, Investing in crypto-assets,NFTs",no income,keep in bank account,,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",lose money,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,exactly 110,same as today,10.0
